Game;Time;Subject;Group;GrSubject;Type;Gain;Penalty;x;s1;s2;s3;AcceptAdvice;CalcCount;CalcAdviceCount;UseHelp;
4;8;2;1;2;9;-9994,212619;10002,08814;53,02376302;31,77923584;114;-30,77923584;1;0;1;;
4;9;3;1;3;25;7,018221457;-1,29585985;7,745422363;60,08055115;44,91944885;10;1;0;1;;
4;9;1;1;1;1;7,226743554;-0,602960147;42,87450663;60;34,22076416;20,77923584;1;0;1;;
4;9;2;1;2;9;6,667396846;1,898819997;64,380071;8,54296875;114;-7,54296875;1;2;4;;
4;10;1;1;1;1;-9993,791485;10000,16607;39,63529332;64;53,45703125;-2,45703125;1;0;12;;
4;10;3;1;3;25;-19999,18078;9999,180778;-4,927453359;32,58055115;72,41944885;10;1;0;1;;
4;10;2;1;2;9;-9991,203703;10000,65316;80,29216003;22,32532883;115;-22,32532883;1;0;1;;
4;11;2;1;2;9;8,361175142;0,82274061;75,34430854;9,54296875;113;-7,54296875;1;0;1;;
4;11;1;1;1;1;5,084335322;0,468743198;29,83668105;49;41;25;0;1;0;;
4;11;3;1;3;25;7,192247353;-1,291483808;9,819010417;30,96707439;72,03292561;12;1;0;1;;
4;12;2;1;2;9;8,008662146;0,483770913;63,12141927;11,7417686;113;-9,741768599;1;0;1;;
4;12;1;1;1;1;3,179890514;2,57561441;32,12583693;57;1;57;0;1;0;;
4;12;3;1;3;25;9,749134481;-3,059385323;19,7527438;27,63574219;75,36425781;12;1;0;1;;
4;13;1;1;1;1;4,568160257;2,318537545;46,42660662;100;1;14;0;2;0;;
4;13;2;1;2;9;6,879133541;1,244904863;57;4,908935547;113;-2,908935547;1;0;1;;
4;13;3;1;3;25;9,281573351;-3,563442408;7,697021484;34,3708843;57;12;1;0;1;;
4;14;1;1;1;1;-9993,804282;10001,76726;62,40907796;110;1;4;0;2;0;;
4;14;2;1;2;9;-9993,32976;10001,38732;55,92425537;28;113;-26;1;0;1;;
4;14;3;1;3;25;-19996,84542;9996,845417;-3,333333333;49,22723389;53,77276611;12;1;0;1;;
4;15;2;1;2;9;6,10734194;1,482124444;48,6;19;112;-16;1;0;6;;
4;15;1;1;1;1;4,81051563;3,067724444;61,06666667;115;-20;20;0;1;0;;
4;15;3;1;3;25;10,05741944;-4,549848889;5,333333333;49,2;53,8;12;0;4;1;;
4;16;3;1;3;25;9,211495901;-4,196518333;0,15;49,2;53,8;12;0;1;0;;
4;16;1;1;1;1;5,378748067;2,821861667;66,25;115;-20;20;0;1;0;;
4;16;2;1;2;9;6,214809718;1,374656667;48,6;34,55;112;-31,55;1;0;1;;
5;1;1;1;1;1;4,657180352;2,6;51,66666667;130;-7,5;-7,5;1;0;0;;
5;1;2;1;2;9;8,247157622;-2,275;26,66666667;17,5;80;17,5;1;0;0;;
5;1;3;1;3;25;8,17781266;-0,325;36,66666667;7,5;7,5;100;1;0;0;;
5;2;3;1;3;25;8,279052074;-0,165277778;40,83333333;10;10;90;0;2;3;;
5;2;2;1;2;9;7,471275918;-2,086111111;20;27,5;60;27,5;0;3;0;;
5;2;1;1;1;1;5,06298053;2,251388889;52,5;120;-10;5;1;1;3;;
5;3;3;1;3;25;8,497246012;-0,5495;38,16666667;10;10;90;0;0;1;;
5;3;2;1;2;9;7,332951875;-1,735333333;22,33333333;22,5;70;22,5;0;2;0;;
5;3;1;1;1;1;4,914703689;2,284833333;50,83333333;120;-13;2;0;1;1;;
5;4;2;1;2;9;7,947767593;-1,837666667;28,33333333;27;80;8;0;0;2;;
5;4;1;1;1;1;5,669967433;1,633;52,33333333;120;-5;-10;0;1;0;;
5;4;3;1;3;25;7,166448129;0,204666667;29,33333333;10;10;90;0;0;0;;
5;5;3;1;3;25;6,848626158;0,789;33,33333333;30,5;-5,5;90;1;0;1;;
5;5;1;1;1;1;6,892122895;1,242166667;65,16666667;120;-5;-10;0;0;1;;
5;5;2;1;2;9;6,739315631;-2,031166667;13,16666667;45;50;20;0;0;1;;
5;6;2;1;2;9;3,332150902;0,567635417;6,208333333;10;50;15;0;0;2;;
5;6;1;1;1;1;7,632072287;-0,549229167;49,16666667;100;-8,875;23,875;1;2;2;;
5;6;3;1;3;25;8,461845518;-0,01840625;46,29166667;37,5;-22,5;100;1;2;1;;
5;7;2;1;2;9;2,995685441;2,635329861;22,70833333;10;90;15;0;1;0;;
5;7;1;1;1;1;9,019835836;-2,682118056;39,16666667;70;0,625;44,375;1;0;9;;
5;7;3;1;3;25;8,79204657;0,046788194;53,125;37,5;-22,5;100;0;0;1;;
5;8;3;1;3;25;7,741701843;1,00234375;51,45833333;37,5;-22,5;100;0;0;0;;
5;8;1;1;1;1;9,070609652;-3,0015625;35,83333333;60;15,625;39,375;1;0;3;;
5;8;2;1;2;9;4,059521493;1,99921875;27,70833333;10;90;15;0;2;0;;
5;9;1;1;1;1;5,445535076;-1,102197266;17,86458333;60;15,625;39,375;1;0;0;;
5;9;3;1;3;25;9,086330749;-0,342285156;51,45833333;-1,40625;16,40625;100;1;0;1;;
5;9;2;1;2;9;5,949912978;1,444482422;45,67708333;-5;105;15;0;1;1;;
5;10;3;1;3;25;8,414241355;0,415602688;52,96614583;-8,90625;23,90625;100;1;0;1;;
5;10;2;1;2;9;7,207088031;0,978423815;58,00260417;-17;110;22;0;1;1;;
5;10;1;1;1;1;3,637071308;-1,394026503;4,03125;38;40,1015625;36,8984375;1;1;6;;
5;11;3;1;3;25;14,69549111;-7,541857125;26,17447917;-19,77539063;44,77539063;90;1;0;1;;
5;11;2;1;2;9;12,09576203;-4,741580608;45,08398438;-29;120;24;0;2;1;;
5;11;1;1;1;1;-5,594526278;12,28343773;43,74153646;180;-29,5234375;-35,4765625;1;0;3;;
5;12;3;1;3;25;10,5747953;-2,908719549;33,76871745;27,63085938;-2,630859375;90;1;0;1;;
5;12;2;1;2;9;5,083412361;2,152216804;43,35432943;-29;120;24;0;0;0;;
5;12;1;1;1;1;5,478635836;0,756502745;37,87695313;115;12,69384766;-12,69384766;1;0;3;;
5;13;2;1;2;9;7,774447953;-0,482540405;44,17191569;15;100;0;0;1;1;;
5;13;3;1;3;25;7,593054868;-0,028714957;32,21923828;0,826538086;24,17346191;90;1;0;1;;
5;13;1;1;1;1;5,782300551;0,511255362;38,60884603;100;8,342285156;6,657714844;1;0;7;;
5;14;3;1;3;25;7,373465664;0,28500752;33,65221151;9,164428711;5,835571289;100;1;0;1;;
5;14;1;1;1;1;6,65951476;-0,463698195;37,3881429;100;16,04336548;-1,043365479;1;0;1;;
5;14;2;1;2;9;7,098647134;0,178690675;43,95964559;3;110;2;0;1;1;;
5;15;2;1;2;9;7,384480511;-0,110789697;43,90657806;3;110;2;0;0;0;;
5;15;3;1;3;25;7,611275163;0,263602766;37,01370239;-0,76084137;10,76084137;105;1;0;1;;
5;15;1;1;1;1;6,075626551;-0,152813069;34,07971954;100;10,95889282;4,041107178;1;0;1;;
5;16;3;1;3;25;8,673996773;-1,058223667;33;0,510276794;9,489723206;105;1;0;1;;
5;16;1;1;1;1;6,635429601;-1,203724012;28,5034256;100;11;4;0;0;0;;
5;16;2;1;2;9;5,643529814;2,26194768;53,4965744;-15;140;-10;0;0;2;;
6;1;1;1;1;1;7,071067812;0;49;49;41;25;1;0;0;;
6;1;2;1;2;9;7,071067812;0;41;49;41;25;1;0;0;;
6;1;3;1;3;25;7,071067812;0;25;49;41;25;1;0;0;;
6;2;2;1;2;9;7,071067812;0;41;49;41;25;1;0;1;;
6;2;1;1;1;1;7,071067812;0;49;49;41;25;0;1;0;;
6;2;3;1;3;25;7,071067812;0;25;49;41;25;0;0;0;;
7;1;3;1;3;25;7,071067812;0;25;49;41;25;1;0;0;;
7;1;2;1;2;9;7,071067812;0;41;49;41;25;1;0;0;;
7;1;1;1;1;1;7,071067812;0;49;49;41;25;1;0;0;;
7;2;3;1;3;25;7,071067812;0;25;49;41;25;1;0;0;;
7;2;1;1;1;1;7,071067812;0;49;49;41;25;1;0;0;;
7;2;2;1;2;9;7,071067812;0;41;49;41;25;1;0;0;;
8;1;3;1;3;25;7,071067812;0;25;49;41;25;1;0;0;;
8;1;1;1;1;1;7,071067812;0;49;49;41;25;1;0;0;;
8;1;2;1;2;9;7,071067812;0;41;49;41;25;1;0;0;;
8;2;2;1;2;9;7,071067812;0;41;49;41;25;0;0;0;;
8;2;3;1;3;25;7,071067812;0;25;49;41;25;0;0;0;;
8;2;1;1;1;1;7,071067812;0;49;49;41;25;0;0;0;;
9;1;1;1;1;1;7,071067812;0;49;49;41;25;1;0;0;;
9;1;3;1;3;25;7,071067812;0;25;49;41;25;1;0;0;;
9;1;2;1;2;9;7,071067812;0;41;49;41;25;1;0;0;;
9;2;3;1;3;25;7,071067812;0;25;49;41;25;1;0;9;;
9;2;1;1;1;1;7,071067812;0;49;49;41;25;0;0;8;;
9;2;2;1;2;9;7,071067812;0;41;49;41;25;1;0;1;;
10;1;2;1;2;9;7,071067812;0;41;49;41;0;1;0;0;;
10;1;1;1;1;1;7,071067812;0;49;49;41;0;1;0;0;;
10;1;3;1;3;25;5;0;0;49;41;0;1;0;0;;
10;2;1;1;1;1;6,937623367;0,133444444;49;49;41;0;1;0;0;;
10;2;2;1;2;9;7,064987773;0,029611111;41,33333333;49;42;24;0;0;1;;
10;2;3;1;3;25;6,391489396;0,037611111;16,33333333;49;41;25;0;0;0;;
10;3;1;1;1;1;7,071067812;0;49;49;41;25;0;0;0;;
10;3;3;1;3;25;7,071067812;0;25;49;41;25;0;0;0;;
10;3;2;1;2;9;7,071067812;0;41;49;41;25;0;0;0;;
10;4;3;1;3;25;6,85474656;0,538944444;29,66666667;34;26;55;0;4;4;;
10;4;1;1;1;1;6,112969559;0,051444444;37;44;41;25;1;0;4;;
10;4;2;1;2;9;6,892731984;0,568277778;46,66666667;33;73;9;1;0;1;;
10;5;3;1;3;25;6,780885539;0,001444444;21;54;41;20;0;0;0;;
10;5;2;1;2;9;7,088821107;0,005777778;41,33333333;50;42;23;0;1;1;;
10;5;1;1;1;1;7,324309214;0,001444444;52,66666667;54;41;20;0;0;0;;
10;6;1;1;1;1;7,302674975;0,011694444;52,5;49;41;25;0;0;1;;
10;6;2;1;2;9;6,8071894;0,024111111;37,66666667;53,5;42;19,5;0;1;1;;
10;6;3;1;3;25;7,01341175;0,045861111;24,83333333;55;30;30;0;0;0;;
10;7;1;1;1;1;7,071067812;0;49;49;41;25;0;0;0;;
10;7;2;1;2;9;7,071067812;0;41;49;41;25;0;1;0;;
10;7;3;1;3;25;7,071067812;0;25;49;41;25;0;0;0;;
10;8;1;1;1;1;7,023324724;0,000444444;48,33333333;49;41;25;0;0;0;;
10;8;2;1;2;9;7,070623367;0,000444444;41;49;41;25;0;0;0;;
10;8;3;1;3;25;7,11627439;0,001777778;25,66666667;47;41;27;0;0;0;;
10;9;3;1;3;25;7,059189528;8,33333E-05;24,83333333;49;41;25;0;0;0;;
10;9;1;1;1;1;7,059189528;8,33333E-05;48,83333333;49;41;25;0;0;0;;
10;9;2;1;2;9;7,094265551;0,000333333;41,33333333;48,5;42;24,5;0;1;0;;
10;10;3;1;3;25;7,059189528;8,33333E-05;24,83333333;49;41;25;0;0;0;;
10;10;2;1;2;9;7,094265551;0,000333333;41,33333333;48,5;42;24,5;0;0;0;;
10;10;1;1;1;1;7,059189528;8,33333E-05;48,83333333;49;41;25;0;0;0;;
11;1;3;1;3;25;7,974139469;0,005;38,66666667;33;33;49;1;0;0;;
11;1;1;1;1;1;6,481972647;0,05;41,66666667;55;30;30;1;0;0;;
11;1;2;1;2;9;6,663075867;-0,055;34,66666667;37;41;37;1;0;0;;
11;2;3;1;3;25;7,379547618;-0,088;28,16666667;38,25;27,75;49;1;0;1;;
11;2;1;1;1;1;7,50539571;0,4580625;62,41666667;100;4,5;10,5;1;0;10;;
11;2;2;1;2;9;6,150777565;-0,3700625;24,41666667;49;41;25;0;2;14;;
11;3;2;1;2;9;5,475918509;0,005109375;21,04166667;49;41;25;0;0;0;;
11;3;3;1;3;25;7,417159754;-0,02346875;29,66666667;58,875;7,125;49;1;0;1;;
11;3;1;1;1;1;8,061966526;0,018359375;64,29166667;85;15;15;0;1;3;;
11;4;3;1;3;25;7,990763637;-0,955880317;24,48958333;52,5;13,5;49;1;0;1;;
